ID,Cena,Powierzchnia,Cena za metr,Pokoje,Ulica,Dzielnica,Obszar administracyjny,Miasto,Województwo,Piętro,Winda,Czynsz,Tytuł,Link
66297023,322 024 zł,28.66m²,11 236 zł/m²,1,ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,parter,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-posrednikow-ID4uaSP
66713339,345 100 zł,27.72m²,12 449 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4wWbB
65935795,271 975 zł,28.75m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,4,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.4.054,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-4-054-ID4sEUz
66735841,312 100 zł,26.1m²,11 958 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4v12x
66730661,219 900 zł,13.92m²,15 797 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,4,nie,brak informacji,1-pokojowe mieszkanie 13m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-13m2-bez-prowizji-ID4wZGZ
66730635,296 400 zł,18.64m²,15 901 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bez-prowizji-ID4wZGz
66819141,282 900 zł,18.02m²,15 699 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bez-prowizji-ID4vmI5
66713344,340 000 zł,29.1m²,11 684 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 29m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-bezposrednio-ID4wWbG
66713188,348 100 zł,26.34m²,13 216 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,5,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4wW9a
67038519,325 500 zł,27.29m²,11 927 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bez-posrednikow-ID4xhMr
66819153,238 700 zł,13.96m²,17 099 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,2,nie,brak informacji,1-pokojowe mieszkanie 13m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-13m2-bez-posrednikow-ID4vmIh
66713170,315 700 zł,27.72m²,11 389 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,1,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4wW8S
66292376,349 900 zł,23.85m²,14 671 zł/m²,1,os. Lotnictwa Polskiego, Wola, Jeżyce, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 23m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-23m2-bezposrednio-ID4u9FS
65812792,233 567 zł,24.69m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,3,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.3.082,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-3-082-ID4s8UE
66819150,230 900 zł,13.91m²,16 600 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,1,nie,brak informacji,1-pokojowe mieszkanie 13m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-13m2-bez-prowizji-ID4vmIe
66713210,349 500 zł,29.66m²,11 784 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 29m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4wW9v
66730631,278 200 zł,18.67m²,14 901 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bez-posrednikow-ID4wZGw
66713157,339 200 zł,25.62m²,13 240 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,5,tak,brak informacji,1-pokojowe mieszkanie 25m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-ID4wW8F
65812766,217 159 zł,25.31m²,8 580 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,2,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.2.037,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-2-037-ID4s8Ue
66713146,345 100 zł,26.1m²,13 222 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,5,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-ID4wW8u
66713196,352 100 zł,26.1m²,13 490 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,6,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4wW9i
65812800,217 159 zł,25.31m²,8 580 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,4,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.4.047,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-4-047-ID4s8UM
66713145,338 800 zł,28.3m²,11 972 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,5,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-prowizji-ID4wW8t
66713376,336 800 zł,29.1m²,11 574 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 29m2 Bez Pośredników,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-bez-posrednikow-ID4wWcc
66713106,353 100 zł,27.72m²,12 738 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4wW7Q
66292652,333 990 zł,23.89m²,13 980 zł/m²,1,os. Lotnictwa Polskiego, Wola, Jeżyce, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 23m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-23m2-bezposrednio-ID4u9Kk
65812799,271 975 zł,28.75m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.0.043,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-0-043-ID4s8UL
66735846,348 000 zł,27.5m²,12 655 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4v12C
67093112,345 000 zł,29.26m²,11 791 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 29m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4xwYY
65812791,234 513 zł,24.79m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,3,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.3.070,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-3-070-ID4s8UD
66713292,327 500 zł,28.3m²,11 572 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4wWaQ
66713383,349 300 zł,27.61m²,12 651 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4wWcj
65812786,237 824 zł,25.14m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,3,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.3.068,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-3-068-ID4s8Uy
66713382,328 200 zł,25.28m²,12 983 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 25m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bez-prowizji-ID4wWci
66730647,301 100 zł,17.11m²,17 598 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,3,nie,brak informacji,1-pokojowe mieszkanie 17m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-17m2-bezposrednio-ID4wZGL
66713109,345 700 zł,27.72m²,12 471 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4wW7T
66819151,245 900 zł,14.38m²,17 100 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,2,nie,brak informacji,1-pokojowe mieszkanie 14m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-14m2-bezposrednio-ID4vmIf
65812781,233 567 zł,24.69m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,2,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.2.081,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-2-081-ID4s8Ut
66713236,355 300 zł,27.5m²,12 920 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4wW9V
66713248,351 400 zł,30.96m²,11 350 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,1,tak,brak informacji,1-pokojowe mieszkanie 30m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4wWa8
67038540,327 800 zł,25.62m²,12 795 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 25m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bez-prowizji-ID4xhMM
66713368,340 500 zł,26.1m²,13 046 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-ID4wWc4
66713309,336 900 zł,26.57m²,12 680 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4wWb7
66713108,337 600 zł,27.29m²,12 371 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,5,tak,brak informacji,1-pokojowe mieszkanie 27m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bezposrednio-ID4wW7S
66713224,314 800 zł,26.34m²,11 951 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-ID4wW9K
66713284,327 900 zł,27.72m²,11 829 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4wWaI
66735830,338 300 zł,29.56m²,11 445 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,1-pokojowe mieszkanie 29m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-ogrodek-bez-prowizji-ID4v12m
66713338,343 500 zł,26.34m²,13 041 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4wWbA
66713190,355 100 zł,26.34m²,13 481 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,6,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-ID4wW9c
66713138,300 900 zł,27.29m²,11 026 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,1,tak,brak informacji,1-pokojowe mieszkanie 27m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bez-prowizji-ID4wW8m
65812796,330 627 zł,34.95m²,9 460 zł/m²,2,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,4,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.4.053,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-4-053-ID4s8UI
66713244,351 400 zł,30.7m²,11 446 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,1-pokojowe mieszkanie 30m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bezposrednio-ID4wWa4
65812764,237 824 zł,25.14m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,1,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.1.068,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-1-068-ID4s8Uc
66292278,311 760 zł,24m²,12 990 zł/m²,1,os. Lotnictwa Polskiego, Wola, Jeżyce, Poznań, wielkopolskie,1,tak,brak informacji,1-pokojowe mieszkanie 24m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-24m2-bez-prowizji-ID4u9Ei
66730644,332 300 zł,18.88m²,17 601 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,3,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bez-prowizji-ID4wZGI
66713151,345 900 zł,25.62m²,13 501 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,6,tak,brak informacji,1-pokojowe mieszkanie 25m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bezposrednio-ID4wW8z
66713372,330 700 zł,28.3m²,11 686 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 28m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-prowizji-ID4wWc8
66819143,226 200 zł,14.41m²,15 697 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 14m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-14m2-bez-prowizji-ID4vmI7
66713192,327 000 zł,29.1m²,11 237 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,1,tak,brak informacji,1-pokojowe mieszkanie 29m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-bez-prowizji-ID4wW9e
66713301,350 600 zł,27.72m²,12 648 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,3,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4wWaZ
66730642,343 400 zł,21.6m²,15 898 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 21m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-21m2-bez-prowizji-ID4wZGG
66730650,233 100 zł,14.75m²,15 803 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,4,nie,brak informacji,1-pokojowe mieszkanie 14m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-14m2-bezposrednio-ID4wZGO
66730633,317 400 zł,21.3m²,14 901 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 21m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-21m2-bezposrednio-ID4wZGx
65812770,237 824 zł,25.14m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,1,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.1.072,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-1-072-ID4s8Ui
65812790,233 567 zł,24.69m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,1,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.1.074,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-1-074-ID4s8UC
66730660,319 100 zł,18.13m²,17 601 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,3,nie,brak informacji,1-pokojowe mieszkanie 18m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-18m2-bez-prowizji-ID4wZGY
65812763,222 783 zł,23.55m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,1,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.1.054,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-1-054-ID4s8Ub
65812777,233 567 zł,24.69m²,9 460 zł/m²,1,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,1,tak,brak informacji,Nadolnik Compact Apartments | apartament AB.1.082,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-apartament-ab-1-082-ID4s8Up
66713183,327 900 zł,27.72m²,11 829 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4wW95
66713336,351 000 zł,30.67m²,11 444 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,1-pokojowe mieszkanie 30m2 + ogródek,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-ID4wWby
66713384,343 900 zł,26.57m²,12 943 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,4,tak,brak informacji,1-pokojowe mieszkanie 26m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4wWck
66713186,303 100 zł,27.29m²,11 107 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,2,tak,brak informacji,1-pokojowe mieszkanie 27m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bez-prowizji-ID4wW98
66819144,278 000 zł,17.71m²,15 697 zł/m²,1,ul. Romana Szymańskiego, Centrum, Stare Miasto, Poznań, wielkopolskie,parter,nie,brak informacji,1-pokojowe mieszkanie 17m2 Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-17m2-bezposrednio-ID4vmI8
